id,company_id,code,name,un_ece_code,table_code,description,percentage,amount_min
currency_code_125,,RWF,Rwanda Franc,,PE.CURRENCY.CODE,Ruanda,,
currency_code_126,,SAR,Saudi Riyal,,PE.CURRENCY.CODE,Arabia Saudita,,
currency_code_127,,SBD,Solomon Islands Dollar,,PE.CURRENCY.CODE,Islas Salomón,,
currency_code_128,,SCR,Seychelles Rupee,,PE.CURRENCY.CODE,Seychelles,,
currency_code_129,,SDG,Sudanese Pound,,PE.CURRENCY.CODE,Sudán,,
currency_code_130,,SEK,Swedish Krona,,PE.CURRENCY.CODE,Suecia,,
currency_code_131,,SGD,Singapore Dollar,,PE.CURRENCY.CODE,Singapur,,
currency_code_132,,SHP,Saint Helena Pound,,PE.CURRENCY.CODE,Santa Helena,,
currency_code_133,,SLL,Leone,,PE.CURRENCY.CODE,Sierra Leona,,
currency_code_134,,SOS,Somali Shilling,,PE.CURRENCY.CODE,Somalia,,
currency_code_135,,SRD,Surinam Dollar,,PE.CURRENCY.CODE,Surinam,,
currency_code_136,,STD,Dobra,,PE.CURRENCY.CODE,Santo Tomé y Príncipe,,
currency_code_137,,SVC,El Salvador Colon,,PE.CURRENCY.CODE,El Salvador,,
currency_code_138,,SYP,Syrian Pound,,PE.CURRENCY.CODE,Siria,,
currency_code_139,,SZL,Lilangeni,,PE.CURRENCY.CODE,Suazilandia,,
currency_code_140,,THB,Baht,,PE.CURRENCY.CODE,Tailandia,,
currency_code_141,,TJS,Somoni,,PE.CURRENCY.CODE,Tayikistán,,
currency_code_142,,TMT,Manat,,PE.CURRENCY.CODE,Turkmenistán,,
currency_code_143,,TND,Tunisian Dinar,,PE.CURRENCY.CODE,Túnez,,
currency_code_144,,TOP,Pa'anga,,PE.CURRENCY.CODE,Tonga,,
currency_code_145,,TRY,Turkish Lira,,PE.CURRENCY.CODE,Turquía,,
currency_code_146,,TTD,Trinidad and Tobago Dollar,,PE.CURRENCY.CODE,Trinidad y Tobago,,
currency_code_147,,TWD,New Taiwan Dollar,,PE.CURRENCY.CODE,Taiwán,,
currency_code_148,,TZS,Tanzanian Shilling,,PE.CURRENCY.CODE,Tanzania,,
currency_code_149,,UAH,Hryvnia,,PE.CURRENCY.CODE,Ucrania,,
currency_code_150,,UGX,Uganda Shilling,,PE.CURRENCY.CODE,Uganda,,
currency_code_151,,USD,US Dollar,,PE.CURRENCY.CODE,Estados Unidos (EEUU),,
currency_code_152,,USN,US Dollar (Next day),,PE.CURRENCY.CODE,Estados Unidos (EEUU),,
currency_code_153,,USS,US Dollar (Same day),,PE.CURRENCY.CODE,Estados Unidos (EEUU),,
currency_code_154,,UYI,Uruguay Peso en Unidades Indexadas,,PE.CURRENCY.CODE,Uruguay,,
